"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_2716",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2717",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2718",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2719",6,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__NA__NA__NA__Seq_2720",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2721",6,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Seq_2722",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2723",6,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_2724",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2725",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2726",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2727",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2728",6,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_2729",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2730",6,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2731",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2732",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2733",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2734",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2735",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2736",5,0,0,0,0,0,0
"Viridiplantae__Streptophyta__NA__NA__NA__NA__NA__Seq_2737",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2738",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2739",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2740",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2741",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2742",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2743",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2744",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2745",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2746",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2747",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2748",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2749",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2750",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2751",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2752",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2753",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2754",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2755",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2756",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2757",5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_2758",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2759",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2760",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2761",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2762",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2763",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2764",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2765",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2766",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2767",5,0,0,0,0,0,0
"NA__NA__NA__Himatismenida__Cochliopodiidae__Cochliopodium__NA__Seq_2768",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2769",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2770",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2771",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2772",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2773",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2774",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2775",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2776",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2777",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2778",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2779",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2780",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2781",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2782",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2783",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2784",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2785",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2786",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2787",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2788",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2789",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2790",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2791",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2792",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2793",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2794",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2795",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2796",5,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__Naididae__NA__NA__Seq_2797",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2798",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2799",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2800",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2801",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2802",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2803",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2804",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2805",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2806",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2807",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2808",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2809",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2810",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2811",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2812",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2813",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2814",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2815",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2816",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2817",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2818",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2819",5,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_2820",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2821",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2822",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2823",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2824",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2825",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2826",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2827",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2828",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2829",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2830",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2831",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2832",5,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_2833",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2834",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2835",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2836",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2837",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2838",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2839",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2840",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2841",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2842",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2843",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2844",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2845",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2846",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2847",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2848",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2849",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2850",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2851",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2852",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2853",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2854",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2855",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2856",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2857",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2858",5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_2859",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2860",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2861",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2862",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2863",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2864",5,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_2865",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2866",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2867",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2868",5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2869",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2870",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2871",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2872",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2873",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2874",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2875",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2876",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2877",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2878",4,0,0,0,0,0,0
"NA__NA__Oomycetes__Pythiales__Pythiaceae__Halophytophthora__NA__Seq_2879",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2880",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2881",4,0,0,0,0,0,0
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_2882",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2883",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2884",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2885",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2886",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2887",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2888",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2889",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2890",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2891",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2892",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2893",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2894",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2895",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2896",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2897",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2898",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2899",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2900",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2901",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2902",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2903",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2904",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2905",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2906",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2907",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2908",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2909",4,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_2910",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2911",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2912",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2913",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2914",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2915",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2916",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2917",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2918",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2919",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2920",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2921",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2922",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2923",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2924",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2925",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2926",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2927",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2928",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2929",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2930",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2931",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2932",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2933",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2934",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2935",4,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Seq_2936",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2937",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2938",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2939",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2940",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2941",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2942",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2943",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2944",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2945",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2946",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2947",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2948",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2949",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2950",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2951",4,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_2952",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2953",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2954",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2955",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2956",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2957",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2958",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2959",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2960",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2961",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2962",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2963",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2964",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2965",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2966",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2967",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2968",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2969",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2970",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2971",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2972",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2973",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2974",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2975",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2976",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2977",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2978",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2979",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2980",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2981",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2982",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2983",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2984",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2985",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2986",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2987",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2988",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2989",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2990",4,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2991",2,2,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2992",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2993",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2994",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2995",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2996",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2997",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2998",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_2999",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3000",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3001",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3002",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3003",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3004",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3005",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3006",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3007",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3008",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3009",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3010",3,0,0,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Seq_3011",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3012",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3013",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3014",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3015",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3016",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3017",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3018",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3019",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3020",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3021",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3022",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3023",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3024",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3025",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3026",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3027",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3028",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3029",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3030",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3031",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3032",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3033",3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_3034",3,0,0,0,0,0,0
