"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"NA__NA__NA__NA__NA__NA__NA__Seq_0069",140,139,65,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0070",197,0,143,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra vulgaris__Seq_0071",112,76,150,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0072",87,40,210,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0073",124,0,210,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0074",131,36,166,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0075",116,54,161,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0076",50,80,197,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0077",161,51,103,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0078",166,58,88,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0079",72,151,88,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0080",204,0,105,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0081",104,109,90,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Seq_0082",119,120,61,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0083",209,36,52,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0084",127,62,108,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0085",153,38,102,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0086",103,100,89,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0087",142,74,74,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0088",107,67,116,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0089",76,87,127,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0090",91,59,139,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0091",140,0,147,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0092",100,38,145,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0093",75,75,129,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0094",92,78,107,0,0,0,0
