"","hash.id","tmp"
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Seq_0049","170bda0c952fe3e9498589049a0068dd8d08d88f","Seq_0049"
"NA__NA__NA__NA__NA__NA__NA__Seq_0050","f9d1cbdcbbf9f33de5749e6f8d6d616194ca856a","Seq_0050"
"NA__NA__NA__NA__NA__NA__NA__Seq_0051","08814fcc78026263e0eafede19ff3beb7350adfc","Seq_0051"
"NA__NA__NA__NA__NA__NA__NA__Seq_0052","88b930cf1e2139f7fafa441d9133b00cbd33db84","Seq_0052"
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0053","e8da07052900d1394cee992be34f83aa07639f8f","Seq_0053"
"NA__NA__NA__NA__NA__NA__NA__Seq_0054","b352995ef88611f7ef211dbae4cb85df2f13bfa2","Seq_0054"
"NA__NA__NA__NA__NA__NA__NA__Seq_0055","7ed544deb92fadbb35588c52adbc51ed437099f3","Seq_0055"
"NA__NA__NA__NA__NA__NA__NA__Seq_0056","ac99be8b9c0da3679389e2b05058ac2643968146","Seq_0056"
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0057","3d0f104db642c761d2bac30878566e1d4aa17566","Seq_0057"
"NA__NA__NA__NA__NA__NA__NA__Seq_0058","92883601cf2a17464075095dbd4736c4c6abc669","Seq_0058"
"NA__NA__NA__NA__NA__NA__NA__Seq_0059","51cb4ce65e293d1608106ee2a3a8b0d192c2352e","Seq_0059"
"NA__NA__NA__NA__NA__NA__NA__Seq_0060","5cd48790d89c200fd38197377fd8b053c8be8217","Seq_0060"
"NA__NA__NA__NA__NA__NA__NA__Seq_0061","6a4166891a6e3d0281f720128982ed1aa1c2f806","Seq_0061"
"NA__NA__NA__NA__NA__NA__NA__Seq_0062","98d632ba256b90d9049b4dca04ace3b65813d5a9","Seq_0062"
"NA__NA__NA__NA__NA__NA__NA__Seq_0063","8f0aba3d460e6971e873fc29b15e210f045d7aea","Seq_0063"
"NA__NA__NA__NA__NA__NA__NA__Seq_0064","f53294c90e5e8e2c8e612280d36eca25d2c66112","Seq_0064"
"NA__NA__NA__NA__NA__NA__NA__Seq_0065","7dab327b15ddd9c74ee8a5e3272bd88c3828ef55","Seq_0065"
"NA__NA__Oomycetes__NA__NA__NA__NA__Seq_0066","7a675a965eda56bb67d4bfe0f062216e19a0cef5","Seq_0066"
"NA__Bacillariophyta__NA__NA__NA__NA__NA__Seq_0067","0adf7b9444acb6f8eb10175a487eef85ba324bcc","Seq_0067"
"NA__NA__NA__NA__NA__NA__NA__Seq_0068","a73140bc19e2a8c32780ad0214cd417bbd8a8541","Seq_0068"
"NA__NA__NA__NA__NA__NA__NA__Seq_0069","77424ef4627792f49c87feae557e12a23d8c4231","Seq_0069"
"NA__NA__NA__NA__NA__NA__NA__Seq_0070","f151cab417b09dd54f108836e9335da0260c4723","Seq_0070"
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__Hydra vulgaris__Seq_0071","6ed53fbf8e63702e9d7c9127612591f096959695","Seq_0071"
"NA__NA__NA__NA__NA__NA__NA__Seq_0072","612767f9eab3a88ca4c2f5ed2e91dc48f4cb9606","Seq_0072"
"NA__NA__NA__NA__NA__NA__NA__Seq_0073","22e7b6dc710239c5c4fe4b375009c2978f5cf28a","Seq_0073"
"NA__NA__NA__NA__NA__NA__NA__Seq_0074","821bb9da403c41be2b4f1461a0b7c057f7927316","Seq_0074"
"NA__NA__NA__NA__NA__NA__NA__Seq_0075","5a6296c5fa86e3b4fce47230b5fd8e379a298995","Seq_0075"
"NA__NA__NA__NA__NA__NA__NA__Seq_0076","9afede350b814a3ad3427b0ca3119ef8be73d647","Seq_0076"
"NA__NA__NA__NA__NA__NA__NA__Seq_0077","7658debb94f0d7d5f0bf8e31e1c1ba6ef681ec0c","Seq_0077"
"NA__NA__NA__NA__NA__NA__NA__Seq_0078","840b5337c8684fc643d0b3562660a153ee7ef708","Seq_0078"
"NA__NA__NA__NA__NA__NA__NA__Seq_0079","050a7b2ff0ecde67fd81bf007dbd90c8cca03238","Seq_0079"
"NA__NA__NA__NA__NA__NA__NA__Seq_0080","7fad99fe141f75dbcfdf9a8cdcebcf31283f7184","Seq_0080"
"NA__NA__NA__NA__NA__NA__NA__Seq_0081","cbda8c2cf1788fb737c0daab1b288e33f62f02ea","Seq_0081"
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Seq_0082","eb82a539f7063677cb938dc114ebeb399634b214","Seq_0082"
"NA__NA__NA__NA__NA__NA__NA__Seq_0083","a41903f26061e0750bea8135a7a82b66df6afd0f","Seq_0083"
"NA__NA__NA__NA__NA__NA__NA__Seq_0084","75653a4c875118ad305c689be182142cd09aa614","Seq_0084"
"NA__NA__NA__NA__NA__NA__NA__Seq_0085","91930498440033c844c257a272bd18bd1e92fb36","Seq_0085"
"NA__NA__NA__NA__NA__NA__NA__Seq_0086","5a9ec9151398685ced673f202106ca524017f44d","Seq_0086"
"NA__NA__NA__NA__NA__NA__NA__Seq_0087","ef2c115f267edeb130c748e2ab77e5ee565c0722","Seq_0087"
"NA__NA__NA__NA__NA__NA__NA__Seq_0088","2cb62c2584b1148b38fb4e6b31254bc7223bb5d3","Seq_0088"
"NA__NA__NA__NA__NA__NA__NA__Seq_0089","82f3448bc9a465a3c49026549dde5e1cb2b86da9","Seq_0089"
"NA__NA__NA__NA__NA__NA__NA__Seq_0090","51b24df83b4a68613b34065c1583207d8fb4ad9b","Seq_0090"
"NA__NA__NA__NA__NA__NA__NA__Seq_0091","00b9dcfb0720f4fa7988adbb13dba57843935061","Seq_0091"
"NA__NA__NA__NA__NA__NA__NA__Seq_0092","9e5f9a11911e23c80ead23b92c1cd8360835b1a5","Seq_0092"
"NA__NA__NA__NA__NA__NA__NA__Seq_0093","9d0a7e8394c93d548b6757ec669c17f0b31f8c98","Seq_0093"
"NA__NA__NA__NA__NA__NA__NA__Seq_0094","a4d4de9854abd73c65c21e7bc54d896fd55b332b","Seq_0094"
"NA__NA__NA__NA__NA__NA__NA__Seq_0095","baf7e7a2d86a023affafa9b73b91ba06a2851beb","Seq_0095"
"NA__NA__NA__NA__NA__NA__NA__Seq_0096","d260c0796b3d96678f6d00f1c35d7975c77f89c6","Seq_0096"
"NA__NA__NA__NA__NA__NA__NA__Seq_0097","5a63d5f26743edb2e5f0fbddef506cf8836b6ebf","Seq_0097"
"NA__NA__NA__NA__NA__NA__NA__Seq_0098","c223f0aa1a32b8b704ddaa8529705585e2c80a64","Seq_0098"
"NA__NA__NA__NA__NA__NA__NA__Seq_0099","7aaf351f778783ba6a798b6f6fb23681abfac958","Seq_0099"
"NA__NA__NA__NA__NA__NA__NA__Seq_0100","679f6c7e82d1079b0074944d345fe3968f61bc48","Seq_0100"
"NA__NA__NA__NA__NA__NA__NA__Seq_0101","1075232a493ed22f070a03b353b8f51e1dfd9f11","Seq_0101"
"NA__NA__NA__NA__NA__NA__NA__Seq_0102","27841c2d7fb344850b3912308d948404d963c2c5","Seq_0102"
"NA__NA__NA__NA__NA__NA__NA__Seq_0103","4810d0adc00b0a0a4182a93c1af8550e646f274f","Seq_0103"
"NA__NA__NA__NA__NA__NA__NA__Seq_0104","30648dffc9740eac73161ef21e5be2fab280393a","Seq_0104"
"NA__NA__NA__NA__NA__NA__NA__Seq_0105","ff583ca0e8f673ea629277330fbcd49ce026833a","Seq_0105"
"NA__NA__NA__NA__NA__NA__NA__Seq_0106","1e19f964e0b900bd089c2c1fe67b742f53141a3a","Seq_0106"
"NA__NA__NA__NA__NA__NA__NA__Seq_0107","95c53fa6a85802cd265e3d69e8d60c7c1e8807c3","Seq_0107"
"NA__NA__NA__NA__NA__NA__NA__Seq_0108","eb8b6829c2c437f56b0ee1fd9593586be8c09c86","Seq_0108"
"NA__NA__NA__NA__NA__NA__NA__Seq_0109","f3c3d063e120517bf9edbbd8ec8d5493bbdfbc58","Seq_0109"
"NA__NA__NA__NA__NA__NA__NA__Seq_0110","b9c727f46124311383017cd37f148e6b63a2806b","Seq_0110"
"NA__NA__NA__NA__NA__NA__NA__Seq_0111","9511623eeb86057989c1e31a9a2c571ff61eebbd","Seq_0111"
"Metazoa__Rotifera__Monogononta__NA__NA__NA__NA__Seq_0112","8a02b742e9b756ec1a406e2a0f34e360157d59bf","Seq_0112"
"NA__NA__NA__NA__NA__NA__NA__Seq_0113","d6a68be7447014bb670d5eb18f94eeb73f85f669","Seq_0113"
"NA__NA__NA__NA__NA__NA__NA__Seq_0114","64c3289bc0a7f1ae43a8150a3935fc82c0bdc1a2","Seq_0114"
"NA__NA__NA__NA__NA__NA__NA__Seq_0115","89487180ea829b088ce52a21b56f4e464537b44d","Seq_0115"
