"","COI.0421.1Prt.Dn.2","COI.0421.1Prt.Up.1","COI.0421.1Prt.Up.3","Delta.1m1.072021","Delta.1m2.072021","Delta.1m3.072021","MBT.1m1.072021"
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_059",25,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_060",23,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_061",23,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_062",22,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_063",21,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_064",21,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_065",20,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_066",20,0,5,0,0,0,10
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_067",20,0,14,0,0,0,0
"Fungi__NA__NA__NA__NA__NA__NA__Taxon_068",19,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Haplotaxida__NA__NA__NA__Taxon_069",25,0,8,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_070",19,4,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_071",18,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA__Taxon_072",18,4,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_073",18,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_074",17,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_075",17,0,15,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_076",45,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_077",16,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__Baetidae__NA__NA__Taxon_078",15,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_079",13,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_080",13,0,5,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_081",13,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_082",13,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_083",12,0,0,0,0,0,0
"Metazoa__Arthropoda__Collembola__Entomobryomorpha__Isotomidae__Isotomurus__NA__Taxon_084",11,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_085",9,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_086",9,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_087",9,0,0,0,0,0,0
"Metazoa__Cnidaria__Hydrozoa__Anthoathecata__Hydridae__Hydra__NA__Taxon_088",9,0,0,0,0,0,0
"Metazoa__Nematoda__Chromadorea__NA__NA__NA__NA__Taxon_089",8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_090",8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_091",8,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_092",8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_093",8,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_094",8,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__NA__NA__NA__Taxon_095",7,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_096",7,0,0,0,0,0,0
"Metazoa__Gastrotricha__NA__Chaetonotida__Chaetonotidae__Lepidodermella__Lepidodermella minus__Taxon_097",7,0,0,0,0,0,0
"Metazoa__Rotifera__Monogononta__Ploima__NA__NA__NA__Taxon_098",7,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_099",7,0,0,0,0,0,0
"Viridiplantae__Chlorophyta__Chlorophyceae__Chlamydomonadales__NA__NA__NA__Taxon_100",7,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Plecoptera__NA__NA__NA__Taxon_101",6,0,0,0,0,0,0
"Viridiplantae__Streptophyta__NA__NA__NA__NA__NA__Taxon_102",5,0,0,0,0,0,0
