"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"6bcfb5f5916fbb63629015131eb5093a34488799",0,0,39,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5fce4850cde7ebbf98086537b2117e43f1fb8670",0,0,17,0,0,0,0,0,0,0,33,32,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"04cc0c9c2236d045d133c2353981f48ec448b610",0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f78df2aff4b80e762e2310db8553ed02d04dcb13",0,0,7,0,0,0,0,0,0,28,11,7,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"27427157036103c0a19c44a691a7cb0bd0de8ea7",0,0,5,0,0,0,0,0,0,17,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0
"fd02756447f324e0369f520e440bd2c436942ecb",0,0,13,0,0,0,0,0,0,0,34,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45f8085af5a237eaeb1e8b68acca24633a76aeeb",0,0,3,0,0,0,0,0,0,31,0,3,9,0,0,0,0,7,0,28,0,0,0,0,0,0,0
"4ef05d4212f542ac6c6f606ea8735a5286eec52b",0,0,10,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184df3aca0a4b70f99ac63eb7b994e4f9a5139c1",0,0,7,0,0,0,0,0,0,0,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d919a076be6845ef57b8e56988400b119b71c8be",0,0,18,0,11,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"5469b5bce91e7829cdcf8e0e011acbe4fd2a38e8",0,0,10,0,0,0,0,0,0,0,10,38,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"477b66afc8df26d36f761ecd7ea5150dfd9d4194",0,0,11,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8f2d818a2b1776bf9e2036c2901f534785ffb2d2",0,0,13,0,0,0,0,0,5,22,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"c6ed1218579b46737260ce204304dbd531d1c717",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1d6a18f7a577fccd56559bf71d21525bf8e915e3",0,0,22,0,7,0,9,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"368b6a0db6d1c21c975b5bf9b259d578916a6278",0,0,29,0,0,0,0,3,0,0,0,9,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"596bbb1020ab6e515b1da16ffa0daaee2b4221bc",0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0
"dfaab8c19590a681bef7cbfd8ad8880749cb8c49",0,0,14,0,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78378d4de58d99f9e9ab6438f343d40d63ab73d2",0,0,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ffa0724f175119ba65329c927f0d75d6cb2bf5ae",0,0,9,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"2b7d2d7e3d0542e363e15cd7eec17d85294f0080",0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c26985d2e2a851452a431922627b474632e89d4f",0,0,8,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d77ac4a5ee2274d58b65382e85ff5abd5348d887",0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5a3eccbb735c5937fc9f7fa3f058c4083c9a1c71",0,0,3,0,0,0,0,0,6,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0
"63eeba1a7a1fdde90bf34a1f273db4c9374db380",0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4787203f94034399c72927dccb016dd46aaa1509",0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0486c18e18695c2cb841b6e41b2caa52d897fab1",0,0,2,0,0,0,0,0,0,11,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3228e222e94cb2c59c4d25af7e118fb94f7e8cb3",0,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4c02a7a512880812c93474a35cfd707b553e7695",0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200ae4db7927cf1d5b24103b99c6f8e96f9fd000",0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23e78b31c98139aab12af97f1473298070e58172",0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b348a9fad3ebdedbdc764ca56e34752132f0be2",0,0,5,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b3c8ca2fc70c7d523f0520e36369a286def78b7",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ac5bdffb502a4ff9d1353fb647693acee5d04634",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3cfd8fdaab9646f969cccba4ef7fc30ecf188068",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f96019923ddd91753aec4d2c1993306487b62bda",0,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d90b91a84d55f728a11514aae22e23e8c3b4c70d",0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1a347af42940c434c23569e101c7514055f1ddf",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"a8684abda2bdb56cdefe7ef9933fdc22745d0bc5",0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a7556decf62acc946647073f7eb1c5a4fe4996a4",0,0,2,0,0,0,0,3,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
