"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"49","21172a93ab34a2c825ff5680bbceecf51bcbf7f9",9653,"Procyon","genus",1,"Metazoa","Chordata","Mammalia","Carnivora","Procyonidae","Procyon",""
"50","8b4c02e43471f8e756ef519737102f06235928ee",9605,"Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"51","587cb9c3b904a58bcc1e2c639295014da2fd3491",1,"root","no rank",1,"","","","","","",""
"52","371bb788f39032efb01ab1f76b1575fad5c2645b",1,"root","no rank",1,"","","","","","",""
"53","a1e9fcf50d7a6b6981a4ee396ec595ed81e24e0e",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"54","7ed525639c40b9418b4743e59f833fa5b3bdf355",2743731,"Pogonichthyinae","subfamily",1,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","",""
"55","fb434d844c0eecd94ddb6cde96b0f0194c52c80a",1,"root","no rank",1,"","","","","","",""
"56","65e4bf7102a09e5b1694879066d96cc3eef5dc04",1,"root","no rank",1,"","","","","","",""
"57","dffda0c508680b0231967ef13820102dce7464a4",1,"root","no rank",1,"","","","","","",""
"58","be1bd85cbedd796b3b70618ed8248f5c66768c49",504568,"Salmoninae","subfamily",1,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"59","6d469f1947b9e4d7559190172ec4b0a8376a79ff",1,"root","no rank",1,"","","","","","",""
"60","a05528c413125215bde6d2205cba6d625e7228f9",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"61","7ac490417f5aeaf9e327657f193c8fd6a03e2585",51342,"Aplodontia rufa","species",NA,"Metazoa","Chordata","Mammalia","Rodentia","Aplodontiidae","Aplodontia","Aplodontia rufa"
"62","ebfdc0a153d719a21b03b26c5b220ea447328d42",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"63","6109f20abd12924d6213ac59a12a3d1a97c9d2a1",8825,"Neognathae","infraclass",0.9996,"Metazoa","Chordata","Aves","","","",""
"64","f22291c865eb42912074398723b531a835a454b8",1,"root","no rank",1,"","","","","","",""
"65","da83c719cc06209b92f6b2c6a335a055a2db77cf",9823,"Sus scrofa","species",NA,"Metazoa","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa"
"66","cf02c7ac513865d632d7fcda290bf109dbf1b8f5",9347,"Eutheria","clade",1,"Metazoa","Chordata","Mammalia","","","",""
"67","21663eabd1aa3dc13e6e38aa1a0ffdcc326adfcd",1,"root","no rank",1,"","","","","","",""
"68","aa46fcfb578b8b261f9a62270d82c7f14c48a266",1,"root","no rank",1,"","","","","","",""
"69","c05881ba27e9bdfacee744ded3476a37d70e35cc",1,"root","no rank",1,"","","","","","",""
"70","5a7e5ebe5d3d6d76de3044040dccd1ab3d048894",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"71","546af63a03c5af40cf0a12f1924d78fc85dce83f",1,"root","no rank",1,"","","","","","",""
"72","34397eb220d63f02ddda5c10429d33c544e5592a",1,"root","no rank",1,"","","","","","",""
"73","72a7f8663817f9ad988cb7648f85d33f98d258d7",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"74","fbeadb140258f18dade9e70598d602743fc657b4",1,"root","no rank",1,"","","","","","",""
"75","2aabdc69f5f7834996039f4029fa03ecfe70ffc0",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
