"","tmp.hash","tmp.tx"
"49","8273c8a6f87f6f118d28e3615d34d31414178a66","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_049"
"50","3bddef06a6879a042cba6aa706946f62989acf8e","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_050"
"51","efd3cbefe8885cc92ca73fd6b492cae9abd8c382","Metazoa__Arthropoda__Insecta__Trichoptera__Limnephilidae__NA__NA__Taxon_051"
"52","322cc4bf3507733287aad4ac824e313c00184f4a","Metazoa__Arthropoda__Insecta__Trichoptera__NA__NA__NA__Taxon_052"
"53","7e9b5759d4b9767abe0723e745e8d70b75abba6d","Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_053"
"54","22cfed3af4c547251d38bf53ca0625a4e3a442b3","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_054"
"55","be07bcadbfbeee69875f0c7c251c5076cd569d93","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_055"
"56","201b2d40064f7d207c3bc75d5d658a5945fd4c90","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_056"
"57","d311d3ee8cbb15021c545a38564373eff2afb367","Metazoa__Cnidaria__NA__NA__NA__NA__NA__Taxon_057"
"58","53eb729272c88058990f4cdd9aac361531c687af","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_058"
"59","157c6b1cc03e2cd63c8df8ead1e8eca6f8ea49c2","Metazoa__Nematoda__NA__NA__NA__NA__NA__Taxon_059"
"60","c8f68a4baa3dedac4e9084f4db8fd54e9f51cb42","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_060"
"61","4e64e63a14010ab38462e7b690abcd926e7cd78d","Metazoa__Platyhelminthes__NA__Tricladida__Planariidae__NA__NA__Taxon_061"
"62","e10c1f3658077a6a9c100a5db80f8cd33b416406","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_062"
"63","8f16a4fe1206c0b144de0aa4d2f1906a19a6d3a1","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_063"
"64","36683d7032f8baf2707b0cc8fb43833e46ccc136","Metazoa__Tardigrada__Eutardigrada__Parachela__Hypsibiidae__Diphascon__NA__Taxon_064"
"65","6cecf2afeb93f99f9996414020c4bb946e579681","Metazoa__Annelida__Clitellata__Lumbriculida__Lumbriculidae__Stylodrilus__Stylodrilus heringianus__Taxon_065"
"66","f1f49910bec1b6ff07c5e0308ab57ef507b4fe1b","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_066"
"67","7dae1ef48dc2dfb3fe4e180f5ddaa76d4c2ff730","Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA__Taxon_067"
"68","f69b244fd022b0e0fbd52e3dbe5b79a5499a09c9","Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_068"
"69","bf63dfd71a712a1319907f0c8874bbedb858a224","Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_069"
"70","771f28a449ba95001a8ef77bc700683f642ce012","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_070"
"71","a0a241cfdf8976d02ca6f45538ee305b8773887e","Metazoa__Chordata__Amphibia__NA__NA__NA__NA__Taxon_071"
"72","e69f43d0c8af44c4fe8436c5c6b4d2fd5ae95d82","Metazoa__NA__NA__NA__NA__NA__NA__Taxon_072"
"73","a316aed716372dae3b8574268c8a3bd020140786","Metazoa__Nematoda__Chromadorea__Rhabditida__Aphelenchoididae__NA__NA__Taxon_073"
