"","COI.0421.2Brn.Up.1","COI.0421.2Brn.Up.3","COI.0421.3Chk.Dn.1","COI.0421.4Pad.Up11.3","COI.0421.5Sqm.Dn.2","COI.0421.5Sqm.Up.2","COI.0821.3Chk.Up.2","COI.0821.4Pad.Dn.1","COI.0821.4Pad.Up11.1","COI.0821.4Pad.Up5.2","COI.Kangaroo.Run.2"
"Metazoa__Arthropoda__Insecta__Trichoptera__NA__NA__NA__Taxon_052",3,0,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__NA__NA__NA__NA__NA__Taxon_053",3,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_054",3,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_055",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_056",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__Cnidaria__NA__NA__NA__NA__NA__Taxon_057",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_058",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__Nematoda__NA__NA__NA__NA__NA__Taxon_059",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_060",2,0,0,0,0,0,0,0,0,0,0
"Metazoa__Platyhelminthes__NA__Tricladida__Planariidae__NA__NA__Taxon_061",0,12,2,0,0,0,127,0,6,365,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_062",0,277,0,0,0,0,0,0,0,0,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_063",3,266,0,93,0,0,0,0,0,0,0
"Metazoa__Tardigrada__Eutardigrada__Parachela__Hypsibiidae__Diphascon__NA__Taxon_064",0,160,0,0,0,0,0,0,0,0,0
"Metazoa__Annelida__Clitellata__Lumbriculida__Lumbriculidae__Stylodrilus__Stylodrilus heringianus__Taxon_065",0,10,21,0,16,10,14,0,13,43,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_066",0,107,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__Ephemeroptera__NA__NA__NA__Taxon_067",0,3,34,0,6,8,0,0,0,14,0
"Metazoa__Rotifera__Bdelloidea__NA__NA__NA__NA__Taxon_068",0,62,0,0,0,0,0,0,0,0,0
"Metazoa__Arthropoda__Insecta__NA__NA__NA__NA__Taxon_069",0,57,0,0,0,0,27,0,0,9,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_070",0,55,0,0,0,0,0,0,0,0,0
