"","NGN0340","NGN0341","NGN0342","MGY11","NGN0343","MGY12","NGN0344","NGN0345","NGN0346","NGN0347","NGN0348","NGN0349","NGN0350","NGN0351","NGN0352","NGN0353","NGN0354","NGN0355","NGN0356","NGN0357","NGN0358","NGN0359","MGY13","MGY14","MGY15","MGY16","MGY17"
"NA__NA__NA__NA__NA__NA__NA__Seq_0037",0,0,6,0,0,0,0,0,0,56,77,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0038",0,0,24,0,0,0,0,0,0,8,25,26,5,0,0,0,0,54,56,16,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0039",0,0,14,0,0,0,8,7,5,18,22,32,20,0,0,0,0,8,61,12,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0040",0,0,44,0,0,0,29,0,0,25,34,38,27,5,3,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0041",0,0,130,0,0,0,0,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0042",0,0,50,0,49,0,21,17,26,0,5,0,10,5,0,0,0,5,7,7,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0043",0,0,38,0,0,0,0,0,0,63,59,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0044",0,0,139,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0045",0,0,36,0,0,0,0,0,0,42,50,46,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0046",0,0,130,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0047",0,0,21,0,0,0,8,9,0,0,4,16,68,35,15,0,0,0,0,4,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0048",0,0,58,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0049",0,0,8,0,15,0,0,0,0,53,42,43,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0050",0,0,14,0,4,0,31,32,30,6,6,0,12,12,7,0,0,0,0,7,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0051",0,0,60,0,0,0,0,0,0,11,20,12,53,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0052",0,0,39,0,0,0,0,0,0,0,31,21,35,0,0,0,0,0,0,30,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0053",0,0,14,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0054",0,0,74,0,0,0,5,0,8,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0055",0,0,13,0,0,0,0,3,0,38,38,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0056",0,0,38,0,0,0,0,0,0,6,16,7,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0057",0,0,45,0,0,0,0,0,0,17,27,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0058",0,0,7,0,0,0,0,0,0,34,23,43,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0059",0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0060",0,0,56,0,0,0,0,0,0,0,18,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0061",0,0,29,0,0,0,5,0,0,0,0,0,0,0,6,88,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0062",0,0,20,0,0,0,0,0,0,0,0,0,28,0,0,34,0,0,0,45,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0063",0,0,12,0,0,0,4,13,7,16,15,0,0,3,5,0,0,31,15,6,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0064",0,0,38,0,0,0,27,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0065",0,0,6,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0066",0,0,22,0,0,0,0,5,6,0,0,0,0,0,0,21,0,0,0,59,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0067",0,0,6,0,3,0,16,16,28,11,0,18,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0068",0,0,79,0,4,0,0,0,8,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0069",0,0,11,0,0,0,0,0,0,17,46,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0070",0,0,63,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0071",0,0,73,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0072",0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0073",0,0,16,0,0,0,10,0,13,8,10,21,9,0,0,0,0,0,3,5,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0074",0,0,35,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0075",0,0,27,0,0,0,0,0,0,12,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0076",0,0,55,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0077",0,0,15,0,0,0,0,0,0,0,0,0,37,0,0,0,0,12,26,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0078",0,0,16,0,0,0,0,0,0,8,12,13,33,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0079",0,0,34,0,0,0,0,0,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0080",0,0,24,0,0,0,0,0,0,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0081",0,0,40,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_0082",0,0,67,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
