"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"47","f8734b4d36ed5a70cc1d50d82d0f470766cfd5f1",1,"root","no rank",1,"","","","","","",""
"48","7eead34e363df27775f985a0cb2ce490701fcb19",9347,"Eutheria","clade",0.9967,"Metazoa","Chordata","Mammalia","","","",""
"49","8b7f7f5a216e2beb81c7f417bdbe05e71abfaf97",1,"root","no rank",1,"","","","","","",""
"50","59935306e064ee65c30b448fd33dd315a2d06546",9606,"Homo sapiens","species",0.9983,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"51","70bda67d1a4235114b7efe71e60349a1d57747f8",1,"root","no rank",1,"","","","","","",""
"52","432494d314a63b8174c361a5fb7aa57bcad4619e",9126,"Passeriformes","order",0.9921,"Metazoa","Chordata","Aves","Passeriformes","","",""
"53","c1663018a2b3a7582d8996b3b145ffec00beb9ad",1,"root","no rank",1,"","","","","","",""
"54","66eb21474d8bbd0ab3d49cda6bd486c79b15ff51",9126,"Passeriformes","order",0.9998,"Metazoa","Chordata","Aves","Passeriformes","","",""
"55","7d5da3bc62189a19083c2e6738c792d59d272fb5",1,"root","no rank",1,"","","","","","",""
"56","61ecf1e5399f52b52bce0ecff9860f64f81a42ef",1,"root","no rank",1,"","","","","","",""
"57","f4811d7268fa7105c7f9fa74d57332efde888ffa",1,"root","no rank",1,"","","","","","",""
"58","b6b3a005119d55f8f2dd8c98d157dd3f11510897",1,"root","no rank",1,"","","","","","",""
"59","dc27b78273b863dc979216930bee746032dac7e5",1,"root","no rank",1,"","","","","","",""
"60","c6e82808a88952d18f734d433ed33bce9aed4920",8830,"Anatidae","family",0.9961,"Metazoa","Chordata","Aves","Anseriformes","Anatidae","",""
"61","5027448a56fdc8e3be2a0c4d9eb69981027f7feb",1,"root","no rank",1,"","","","","","",""
"62","bce015f34f7709e600578138b69e1e5592a4dff5",1,"root","no rank",1,"","","","","","",""
"63","10f4d92a33b968d655cf3052960c51dc77c8a33b",1,"root","no rank",1,"","","","","","",""
"64","ed947cab6e7ec1c1e6f04bf5c2581f1d73292a07",32523,"Tetrapoda","clade",1,"Metazoa","Chordata","","","","",""
"65","d5277249380444d56c84ec6f67f129809827a43b",1,"root","no rank",1,"","","","","","",""
"66","93e4b1d355fcc68fb1591602ec2e5af8b5fba968",1,"root","no rank",1,"","","","","","",""
"67","65e25f8e1b1ed2d0fc70381120e71fc6c4facb3b",1,"root","no rank",1,"","","","","","",""
"68","ec40583f805956c9d0e3dfc9f036179898b8716e",1,"root","no rank",1,"","","","","","",""
"69","426bd9ed45e039aa545434661619ccbd37822e9f",1,"root","no rank",1,"","","","","","",""
"70","74da04a49bb5d961b7bad0db1422a1137f2b3069",1,"root","no rank",1,"","","","","","",""
"71","a61e33242a20f3bd98721edc138fd964d3f00816",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"72","4bcf98976488f81fa25b3b8d4dad55d94f89da6f",9347,"Eutheria","clade",0.994,"Metazoa","Chordata","Mammalia","","","",""
"73","11523d68271fcd46f5639834aa797f90cf49cae9",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"74","9065a17cf1c0baae17365ee6a46d4774faa5f3de",338152,"Felinae","subfamily",0.986,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"75","f4e2485d980655f09577aaaecbabdf25cb709323",1,"root","no rank",1,"","","","","","",""
"76","5d392a2c6a8f4c41c8761f7c2005f1b03646a788",1,"root","no rank",1,"","","","","","",""
"77","5b187cd62a95b78e14688d348dfd5201c39e67d0",1,"root","no rank",1,"","","","","","",""
"78","262cc63f1217efd5b7efc857901b451c67123e6b",1,"root","no rank",1,"","","","","","",""
"79","080147934ea92c696ef63f2154b2b093f3a98845",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
