"","tmp.hash","tmp.tx","wholetax.tg"
"41","0af50c9e935876232e242db91bb835235691bf3a","Taxon_41","Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA"
"42","23bf5f5d24f589cba120a8635ee13e9817d90a52","Taxon_42","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"43","e330f6d1a7768b21c34c1d9d6814f5b48c87b05a","Taxon_43","Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens"
"44","ddf5d8f01c176ab003be35dd8935dab512bf36c1","Taxon_44","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"45","d2b6d6a7ad62c1827c70dfab3c1fd345dadbc9d4","Taxon_45","Metazoa__Chordata__Actinopteri__Perciformes__NA__NA__NA"
"46","23c619d6fffd998ebd33fc4a32feda91287ea49e","Taxon_46","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"47","9e831a2f93daeb2d14b4c4990038bad6b33b4cd0","Taxon_47","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"48","7c418641190f04ef854d9017a3e1cde2465e5b8a","Taxon_48","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"49","d15e926efd8720231adb32a8b4e6e40608827676","Taxon_49","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus"
"50","358d0def35bc8bcf2711011fb63f7fc511496cc5","Taxon_50","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"51","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Taxon_51","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"52","e2877b8381733054b6f7c0bb6c396dca9e4f8741","Taxon_52","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"53","74e9db524bb60d56a3a624862eebe009050a9747","Taxon_53","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"54","82d2ca5faea5bec0e9ddf893aea2b2399ae27e8f","Taxon_54","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus nerka"
"55","4228cce06d49e5f93544647e850b86c3c5481184","Taxon_55","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"56","79d008fbddb27b84d9bd018c054dafdf79bf41fd","Taxon_56","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"57","bb1fb9d895c7d7fe5c2d003020fe3d93fc203780","Taxon_57","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"58","9a33de19684dd94fef15cc285fa6e9a6a7284e64","Taxon_58","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"59","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","Taxon_59","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA"
"60","31adf9b0bfe620438b8e730fd474cc27e61c3cc4","Taxon_60","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__Gasterosteus aculeatus"
"61","c5096108c306c4feda0e54dde259d212245b2d5a","Taxon_61","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"62","abe6eda2dbc91ef9c3824e6d9471128e56e0ca75","Taxon_62","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__NA__NA"
"63","3fa5cad0e8bd81303eed0492a7c0dd91d85747be","Taxon_63","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor"
"64","ed5e7e50aa64ed93aa7bb93f60e0d0ec95dd2cab","Taxon_64","Metazoa__Chordata__Mammalia__Artiodactyla__Suidae__Sus__Sus scrofa"
"65","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Taxon_65","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"66","dc78ea7000749cdaa33f9199c52df6f0f90be099","Taxon_66","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"67","ae072da6766540acd369d0e89b6d68fde7866214","Taxon_67","Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA"
"68","2940667037e96bb494f98b5b0e70ed4e8aafcee1","Taxon_68","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"69","7aa929fd12fc38856e105d3092ae8752af4b44da","Taxon_69","Metazoa__Chordata__Mammalia__Diprotodontia__Macropodidae__Osphranter__Osphranter rufus"
"70","da7ec71822611a2ab3848b31b62a6da70e741c77","Taxon_70","Metazoa__Chordata__Mammalia__Diprotodontia__NA__NA__NA"
