"","hash.id","tmp"
"NA__NA__NA__NA__NA__NA__NA__Seq_0049","a1ed791f83e486039356119ee8bc79d62aa024ee","Seq_0049"
"NA__NA__NA__NA__NA__NA__NA__Seq_0050","7bf6c328795bd259ddce62f29e272ba7ef075015","Seq_0050"
"NA__NA__NA__NA__NA__NA__NA__Seq_0051","7a252736c0fd14c374f5e52b0817eccdfcf5738e","Seq_0051"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Seq_0052","a0c2e7cbad7bbe0b97f572d9a9aa8eb2b59c0f6b","Seq_0052"
"NA__NA__NA__NA__NA__NA__NA__Seq_0053","543d26f3650a9ec21ded51baa7fa8ee19d834948","Seq_0053"
"NA__NA__NA__NA__NA__NA__NA__Seq_0054","5d82fc46e80d62627c12851796db0cf52d9cbf46","Seq_0054"
"NA__NA__NA__NA__NA__NA__NA__Seq_0055","29e283f87e3e215f895624fea13f06701a790b3d","Seq_0055"
"NA__NA__NA__NA__NA__NA__NA__Seq_0056","d4ae11935197e3455d1a5a09c6061b420cc5f09b","Seq_0056"
"NA__NA__NA__NA__NA__NA__NA__Seq_0057","5bc199e9f96b0d9e56508551889cd1ed193de761","Seq_0057"
"NA__NA__NA__NA__NA__NA__NA__Seq_0058","d0906e74ffc43cecc2fff6780b2a18afc8305705","Seq_0058"
"NA__NA__NA__NA__NA__NA__NA__Seq_0059","4e0aaf7fdd831587b483be6eade759395f088552","Seq_0059"
"NA__NA__NA__NA__NA__NA__NA__Seq_0060","202f5cbc4ca4adb3adce1d06aa326f1635965392","Seq_0060"
"NA__NA__NA__NA__NA__NA__NA__Seq_0061","1f8fa7a739b2feec0bf88389ac754704abb95a12","Seq_0061"
"NA__NA__NA__NA__NA__NA__NA__Seq_0062","8bb05a94f1902d6f46cbba380409e4e782ebe520","Seq_0062"
"NA__NA__NA__NA__NA__NA__NA__Seq_0063","be528d433204153a9b5e1af0f1dd069d8804408c","Seq_0063"
"NA__NA__NA__NA__NA__NA__NA__Seq_0064","d7c8c5285726c11c0afce962142d6d774de8a029","Seq_0064"
"NA__NA__NA__NA__NA__NA__NA__Seq_0065","528f542ea459289ea289fd1b4bdc26a33cbfcb89","Seq_0065"
"NA__NA__NA__NA__NA__NA__NA__Seq_0066","0ec43ad91234436deee69f2dc3440964a0e3f80f","Seq_0066"
"NA__NA__NA__NA__NA__NA__NA__Seq_0067","a49b3e7430f3c69743d4f9e5730676fe669a2530","Seq_0067"
"NA__NA__NA__NA__NA__NA__NA__Seq_0068","8cb52dce6851014e6a35e51da447199ae8cc1bf9","Seq_0068"
"NA__NA__NA__NA__NA__NA__NA__Seq_0069","0e21e48d770cfef71e0fff527cf753e83bfd8981","Seq_0069"
