"","tmp.hash","tmp.tx","wholetax.tg"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii__Taxon_001","fd7d89190e5c165cf36284ea0fca46c98216328c","Taxon_001","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus clarkii"
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Taxon_002","02e4a86c119ca4b65e5b616135fa996aa2eb4372","Taxon_002","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana__Taxon_003","8519a7f742cabfdb887dc2013feba40c4584b8db","Taxon_003","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_004","30742d31b3cc7a387b96133d0998ecee07c83597","Taxon_004","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561__Taxon_005","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Taxon_005","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_006","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Taxon_006","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_007","ca4009e9f4961a466d717e77ddddcf64a374073d","Taxon_007","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia__Taxon_008","d375db6821a4402acdeffb3d216d4abdc355cd48","Taxon_008","Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia"
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_009","63a7d0273f9bdd41fc062c411d5c529730a67ff1","Taxon_009","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_010","1a7f87ab0013574ad60f803c3d8d54cad2d15181","Taxon_010","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA__Taxon_011","1a50e3486cdc5423f8b831ff444cf54e91042554","Taxon_011","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA__Taxon_012","4034e3f8d59651874847b26c07aed84914791e06","Taxon_012","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_013","195cc1c7f2dd895425c1f7872e3ed4dfe4256c0f","Taxon_013","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_014","dbfc4c5bd03f414677d0dec505587c7ea976c514","Taxon_014","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Taxon_015","1d2afe6b4c6cfb903dbf4f9909690cdcbebeff16","Taxon_015","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
