,MiMammal.0321.1Prt.Dn.1,MiMammal.0321.1Prt.Dn.2,MiMammal.0321.4Pad.Up11.1,MiMammal.0321.2Brn.Up.3,MiMammal.0321.5Sqm.Dn.1,MiMammal.0321.5Sqm.Up.1,MiMammal.0321.5Sqm.Up.2,MiMammal.0321.2Brn.Up.1TR2,MiMammal.0321.2Brn.Up.1TR3,MiMammal.0421.1Prt.Dn.3,MiMammal.0421.1Prt.Up.1,MiMammal.0421.1Prt.Up.2,MiMammal.0421.2Brn.Dn.2,MiMammal.0421.2Brn.Dn.3,MiMammal.0421.2Brn.Up.2,MiMammal.0421.2Brn.Up.3,MiMammal.0421.3Chk.Up.2,MiMammal.0421.3Chk.Up.3,MiMammal.0421.4Pad.Dn.2,MiMammal.0421.5Sqm.Dn.2,MiMammal.0421.5Sqm.Dn.3,MiMammal.0421.5Sqm.Up.1,MiMammal.0421.5Sqm.Up.2,MiMammal.0821.1Prt.Dn.2,MiMammal.0821.1Prt.Dn.3,MiMammal.0821.1Prt.Up.2,MiMammal.0821.2Brn.Up.1,MiMammal.0821.3Chk.Dn.1,MiMammal.0821.3Chk.Dn.3,MiMammal.0821.3Chk.Up.3,MiMammal.0821.4Pad.Up11.3,MiMammal.0821.4Pad.Up5.2,MiMammal.0821.5Sqm.Up.3,MiMammal.0821.4Pad.Up5.2TR2,MiMammal.0821.4Pad.Up5.2TR3,MiMammal.0421.Kangaroo
Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_021,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_022,0,0,41005,2924,12242,22377,6618,67,42,27275,7990,14489,34276,21701,19870,45312,13343,60662,11645,16606,25222,50723,20260,6036,1391,30045,9257,2371,6774,10019,1069,19866,601,31567,31888,0
Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Taxon_023,0,0,1948,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,7044,0,0,0,0,0,0,0,0,0,0,0,86,1994,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus__Taxon_024,0,0,3,47517,0,0,0,61923,56748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Taxon_025,0,0,4003,0,0,0,271,0,0,0,0,0,0,0,164,0,0,42,2136,27,0,17,49,0,0,0,0,529,0,0,4483,0,0,41,216,0
Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens__Taxon_026,0,0,1179,43,344,658,844,0,0,784,241,374,967,575,606,1404,432,1825,382,469,671,1489,593,138,0,815,0,0,0,334,0,609,0,961,1024,0
Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_027,0,0,1251,0,0,0,0,0,0,0,0,0,0,2462,0,0,0,0,0,0,0,284,406,0,0,0,0,0,0,0,0,0,283,0,0,0
Metazoa__Chordata__Aves__Galliformes__Phasianidae__NA__NA__Taxon_028,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,606,0
Metazoa__Chordata__Mammalia__Artiodactyla__Bovidae__Ovis__NA__Taxon_029,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazoa__Chordata__Mammalia__Carnivora__Mustelidae__Neovison__Neovison vison__Taxon_030,0,0,1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
