"","tmp.hash","tmp.tx","wholetax.tg"
"41","d5f832529f6b73fadb1b9087af48bf9a8dc101c8","Taxon_41","Metazoa__Chordata__Aves__Anseriformes__Anatidae__Aix__Aix sponsa"
"42","38d71c584fffb66dc0fc7c764e9602a6b7510c4f","Taxon_42","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"43","043add06ba0d58df5bd5e9ea9c63728b2f24ee67","Taxon_43","Metazoa__Chordata__Aves__Passeriformes__Corvidae__Corvus__NA"
"44","b77414768c25433998316cb19ce1fe5eece7892a","Taxon_44","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"45","dea6affcc0e9e148fce03db6b063609eb8502e11","Taxon_45","Metazoa__Chordata__NA__NA__NA__NA__NA"
"46","5183838b57461b9c9bb59d34ddfc45dbbaef6c6d","Taxon_46","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"47","8519a7f742cabfdb887dc2013feba40c4584b8db","Taxon_47","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__Didelphis__Didelphis virginiana"
"48","23bf5f5d24f589cba120a8635ee13e9817d90a52","Taxon_48","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"49","a7ff5c1558e9bef5fc6d99e97c28e519c3a043cd","Taxon_49","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"50","d84391b013a0c0b0f0e588766fb6a2f47f8bc81c","Taxon_50","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"51","103db404f6c6389478589bbbe6e83c16aaef52ca","Taxon_51","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"52","5e6db5c69202c328e44d0a3ad756b853307676a5","Taxon_52","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"53","e65f511d819ef32a2941c6d56d076a8616b71c25","Taxon_53","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"54","9c177b556ac925aa7f5fa05607d9a4820e3dd201","Taxon_54","Metazoa__NA__NA__NA__NA__NA__NA"
"55","9a69c3a268c7129726a4be25bfaacf024a80a18a","Taxon_55","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus keta"
