"","NGN0302","NGN0303","NGN0304","NGN0305","NGN0306","NGN0307","NGN0308","NGN0309","NGN0310","NGN0311","NGN0312","NGN0313","NGN0314","NGN0315","NGN0316","NGN0317","NGN0318","NGN0319","NGN0320","NGN0321","NGN0322","NGN0323","NGN0324","NGN0325","NGN0326","NGN0327","NGN0328","NGN0329","NGN0330","NGN0331","NGN0332","NGN0333","NGN0334","NGN0335","NGN0336","NGN0337","NGN0338","NGN0339"
"Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus__Taxon_24",0,0,0,0,0,0,0,577,0,790,0,0,0,0,0,0,0,0,0,0,0,2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_25",0,0,0,0,0,0,0,678,1103,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_26",0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_27",0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_28",0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Anura__NA__NA__NA__Taxon_29",0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_30",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__Turdidae__Turdus__Turdus migratorius__Taxon_31",0,0,0,0,0,0,0,0,142,0,0,0,0,0,931,1775,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,28,200,155,161,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_32",0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Anura__NA__NA__NA__Taxon_33",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,71,32,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_34",0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_35",0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA__Taxon_36",0,0,0,0,0,0,0,0,0,0,1159,1379,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
