"","tmp.hash","tmp.tx","wholetax.tg"
"42","f0c9d5796c8d930d940a9d0eaac17574504533d5","Taxon_042","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"43","6634733d917ef2fc77dd7e1780deb0c7f70bbb54","Taxon_043","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"44","7cbe946625f416ad59615f0ddca7884268f33de2","Taxon_044","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"45","bb9e4944f087963db3eb859bd8bd8f24378ba782","Taxon_045","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"46","d375db6821a4402acdeffb3d216d4abdc355cd48","Taxon_046","Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia"
"47","7ed525639c40b9418b4743e59f833fa5b3bdf355","Taxon_047","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"48","07122a09e420f0d98cd3019bb7a8f3da9909e375","Taxon_048","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"49","827f99ae61c4f9a80e1b415ff8de0c02d35659dd","Taxon_049","Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Pipilo__Pipilo maculatus"
"50","4c562c7a275414a00788a05c97abe672981ffcea","Taxon_050","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
"51","a426780e439ff6e04e7c60b1ea9ca40b2376c047","Taxon_051","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__Tamias__NA"
"52","5e09a54224038d545ffdff782605cf12eeddc349","Taxon_052","Metazoa__Chordata__Amphibia__Caudata__Salamandridae__Taricha__Taricha granulosa"
"53","5e8544bdf175461677456201e76e72b9a53fb5b8","Taxon_053","Metazoa__Chordata__NA__NA__NA__NA__NA"
"54","1ff57d60d299f85ef8583d21421bd5f5f7629bd0","Taxon_054","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"55","e32df56aaf7506ce1e581a8134bf8db95757bed3","Taxon_055","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"56","2a8565e0489842a6d2026b261ece0d6cb26c7e82","Taxon_056","Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA"
"57","d02c0e9e3d0a5cff9bc1a5328b6314994ffa989e","Taxon_057","Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA"
"58","23c619d6fffd998ebd33fc4a32feda91287ea49e","Taxon_058","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"59","1776a6b0b2c5f52827e2d1ba7f2dc18e3b43dbc0","Taxon_059","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"60","c882a0a69c582b1baa552e7308926c80639b0d42","Taxon_060","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"61","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a","Taxon_061","Metazoa__Chordata__Hyperoartia__Petromyzontiformes__Petromyzontidae__Lampetra__Lampetra sp. CBM:ZF:17561"
"62","e3326d78fc42729ea464440aa62ec3ce02bd2829","Taxon_062","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"63","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Taxon_063","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"64","3fa5cad0e8bd81303eed0492a7c0dd91d85747be","Taxon_064","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor"
"65","1eacd6b8e7ccfd00e53e98c9ff9ecee454f0f29f","Taxon_065","Metazoa__Chordata__Aves__Galliformes__Phasianidae__Meleagris__Meleagris gallopavo"
"66","dc78ea7000749cdaa33f9199c52df6f0f90be099","Taxon_066","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"67","ddf5d8f01c176ab003be35dd8935dab512bf36c1","Taxon_067","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"68","e747eef0a339a503193d10c42b71ef028bca3fc0","Taxon_068","Metazoa__Chordata__Aves__Passeriformes__Paridae__Poecile__Poecile atricapillus"
"69","86defafd90ebda4457d19711995a3bd316d71b78","Taxon_069","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"70","60bae576e1162a8312b8a84b4831b1a1fc8236a2","Taxon_070","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"71","9a33de19684dd94fef15cc285fa6e9a6a7284e64","Taxon_071","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"72","3da8323fb9777f8ba671d52a7534b4c8cd1de878","Taxon_072","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"73","59309486d84462893840a85fbdc4aeff89a26639","Taxon_073","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"74","76f73c68713a6e564552b836f1120c3eb33bc80d","Taxon_074","Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA"
"75","0740be14a500f1926900e799890dabe13d4d8b06","Taxon_075","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
