Sample_name,Locus,Hash,nReads
COI.0421.1Prt.Dn.2,COI2,4e0d46b9ae3f09828b061636a36b7deaae775f89,186
COI.0421.1Prt.Dn.2,COI2,28d40513f198967127545213f07c75f182f209bc,152
COI.0421.1Prt.Dn.2,COI2,8fbf288c13b403c8b1c3c3d940c6277c42fe38d3,157
COI.0421.1Prt.Dn.2,COI2,b54cdffeb57cb1e9e80e2b9d978282a72ab581e9,286
COI.0421.1Prt.Dn.2,COI2,1ff876cd660687fcca3abb35ad3c4157e594a73c,69
COI.0421.1Prt.Dn.2,COI2,c9e436b6ddb66e70103c365b2dcd06b64c2570e5,406
COI.0421.1Prt.Dn.2,COI2,1539a2f9ae9df2c9bb550c6c6f1587297ce943e4,194
COI.0421.1Prt.Dn.2,COI2,b0515617cf6baa3faae751b92ce598b7b28cec1c,121
COI.0421.1Prt.Dn.2,COI2,f7e0c0686d287c37875c39e093585e034b12851e,96
COI.0421.1Prt.Dn.2,COI2,02b3c3e1867e94f1422597e5d74bc54dfc792449,190
COI.0421.1Prt.Dn.2,COI2,5ff3e6d2a9b832df20459bfb44976ae614173b19,241
COI.0421.1Prt.Dn.2,COI2,39f6fb13175c36f25d3d74549a083a2776771706,112
COI.0421.1Prt.Dn.2,COI2,c61fd9f0454e83614f6c3ba4204b89d6bd5c8d2f,109
COI.0421.1Prt.Dn.2,COI2,7a1a059634dcdd84c703581b5508e3a242e48602,117
COI.0421.1Prt.Dn.2,COI2,20b7b4c78a65412f8b27980898a28e477d4c666d,111
COI.0421.1Prt.Dn.2,COI2,b68e80867f7b254ae4b48c4ae8b2ae9bd83a72e7,108
COI.0421.1Prt.Dn.2,COI2,b1c86cc88bce89145aba77a9ea7e6c77f022c5a6,143
COI.0421.1Prt.Dn.2,COI2,6d4d2d4568d99747d965ba3687b50742702fb2fc,166
COI.0421.1Prt.Dn.2,COI2,93b16d7d1fa3c5a6f86ef5c1e9804d953cb495e3,89
COI.0421.1Prt.Dn.2,COI2,03305215eda5041311eb9f1ac5120362de78c0ca,124
COI.0421.1Prt.Dn.2,COI2,c9b7da6fa27064b3d6755cbc7d6aa6253b87ddf2,144
COI.0421.1Prt.Dn.2,COI2,34e24ea04584755537e6d6f5bf56df027049b57d,81
COI.0421.1Prt.Dn.2,COI2,52f64c5772e8df7dab364c5576d10547f5a8496c,124
COI.0421.1Prt.Dn.2,COI2,bf1bea45f245b1cd8037c9ec17808a5364a37a2c,81
COI.0421.1Prt.Dn.2,COI2,9bd2d7ece4df413edbd919f217e97b4601df1e63,36
COI.0421.1Prt.Dn.2,COI2,cba18aa303638e888bd3efbdacee84d41657b4d3,143
COI.0421.1Prt.Dn.2,COI2,d1a188d47463879fe4b9b38b2f16bb79d572692c,107
COI.0421.1Prt.Dn.2,COI2,516c60eeccfbb26c0da168dfefaddaa4fa35a11e,173
COI.0421.1Prt.Dn.2,COI2,867db3e0433b7d5d846a04f42936095629dce5de,129
COI.0421.1Prt.Dn.2,COI2,82baeaf7642332e3165cba87c0f6e0a4b3a50e42,46
COI.0421.1Prt.Dn.2,COI2,5d62d04d9e834746791f61db46f380d2be705911,118
COI.0421.1Prt.Dn.2,COI2,6321b87a2665565df6219e627e968e0eb4a34e44,109
COI.0421.1Prt.Dn.2,COI2,b70dd76dc4d69b07ec1bf44d206f40fffc6aac57,192
COI.0421.1Prt.Dn.2,COI2,c4dd55f96104d55194321ffda2c43f5b5a684fb9,151
COI.0421.1Prt.Dn.2,COI2,c05573ff99ce959ef5950ceab7070636a5e0a745,97
