Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.1Prt.Dn.2,COI2,117773,112079,110213,109920,67432,67432,67341
COI.0421.1Prt.Up.1,COI2,73958,70253,68791,68489,38323,38323,38019
COI.0421.1Prt.Up.3,COI2,124792,119049,117278,117143,62501,62501,61909
Delta.1m1.072021,COI2,151317,144729,144198,144235,76599,76599,73517
Delta.1m2.072021,COI2,114409,108978,108078,108077,46772,46772,44958
Delta.1m3.072021,COI2,119525,113627,113140,112982,46103,46103,44962
MBT.1m1.072021,COI2,113374,107385,106582,106708,36153,36153,34486
