Sample_name,Locus,input,filtered,denoised_F,denoised_R,merged,tabled,nonchim
COI.0421.1Prt.Dn.2,COI2,117773,110578,108515,108557,105407,105407,104811
COI.0421.1Prt.Up.1,COI2,73958,69464,67841,67806,65513,65513,64917
COI.0421.1Prt.Up.3,COI2,124792,117447,115421,115682,112491,112491,111464
Delta.1m1.072021,COI2,151317,143114,142542,142620,139288,139288,133417
Delta.1m2.072021,COI2,114409,107490,106604,106631,103763,103763,99377
Delta.1m3.072021,COI2,119525,112203,111627,111578,109209,109209,104326
MBT.1m1.072021,COI2,113374,105856,105026,105182,102207,102207,96771
