Sample_name,Locus,Hash,nReads
MiMammal.0321.1Prt.Dn.2,MiMammal,69e1baa12096acc8c9e9158a6a978a8228658b6e,202
MiMammal.0321.1Prt.Dn.2,MiMammal,9cbe9776d7d1838f1adcc215a39365c34a8625e5,174
MiMammal.0321.1Prt.Dn.2,MiMammal,3bc98c2fc6c2bac1037fbc2452824d9524bff3ed,152
MiMammal.0321.1Prt.Dn.2,MiMammal,c5a621aaf81ac9b455706c36e638822d82f1c98a,30
MiMammal.0321.1Prt.Dn.2,MiMammal,94bb478e5e71ec60861e4942c3584d23b39b33e8,99
MiMammal.0321.1Prt.Dn.2,MiMammal,034bb4a8d095515c5fa3661e10d121c958bc0c44,55
MiMammal.0321.1Prt.Dn.2,MiMammal,27b0e0c034d3b795c702e38a28c46d23b738c844,25
MiMammal.0321.1Prt.Dn.2,MiMammal,c79ab0b61570da651915c0b1f1737480bfee8f33,18
MiMammal.0321.1Prt.Dn.2,MiMammal,255e407bf5a74b95e5520452767dd4eed18d529c,18
MiMammal.0321.1Prt.Dn.2,MiMammal,771a2a4476df29293588e8d4110dec17e613cd0b,7
MiMammal.0321.1Prt.Dn.2,MiMammal,7459ed39ce5db34efc09676d160062920fd0a5bc,6
MiMammal.0321.1Prt.Dn.2,MiMammal,2b3bc28d27109be61167eda3b0e36b83d1584786,5
MiMammal.0321.1Prt.Dn.2,MiMammal,c61d6ce0c966b8fff606e796e88a2de999dcc868,4
MiMammal.0321.1Prt.Dn.2,MiMammal,3c55bfffc762cd4c06087cd499d566ad9884ca63,2
MiMammal.0321.4Pad.Up11.1,MiMammal,fd7d89190e5c165cf36284ea0fca46c98216328c,1513
MiMammal.0321.4Pad.Up11.1,MiMammal,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,40052
MiMammal.0321.4Pad.Up11.1,MiMammal,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,1948
MiMammal.0321.4Pad.Up11.1,MiMammal,8ade38d6c1396cc32395e6773d53ae373734314c,3
MiMammal.0321.4Pad.Up11.1,MiMammal,406aec86258ef8821827fb46e2447a9aa2885cec,311
MiMammal.0321.4Pad.Up11.1,MiMammal,a56843c86d60d4423f69f4836868d31ea7eadf22,4003
MiMammal.0321.4Pad.Up11.1,MiMammal,ca4009e9f4961a466d717e77ddddcf64a374073d,7504
MiMammal.0321.4Pad.Up11.1,MiMammal,d375db6821a4402acdeffb3d216d4abdc355cd48,719
MiMammal.0321.4Pad.Up11.1,MiMammal,4d599bf71d8ba588d94d18e520b7f12419c17cd6,1179
MiMammal.0321.4Pad.Up11.1,MiMammal,5dbce0075732b37e517721c275ba3c2e14e50196,2330
MiMammal.0321.4Pad.Up11.1,MiMammal,358d0def35bc8bcf2711011fb63f7fc511496cc5,1251
MiMammal.0321.4Pad.Up11.1,MiMammal,de1b0fa5bf4731ad0304175bb17eaf4e747ba2fa,4
MiMammal.0321.4Pad.Up11.1,MiMammal,0ac2e814a8ca473e24a9d20a4a2a8caf24b9cc25,44
MiMammal.0321.4Pad.Up11.1,MiMammal,de153c34b212edc93e83a42901b4b97d6e887c7f,111
MiMammal.0321.4Pad.Up11.1,MiMammal,102fba8ef6395bfb379e3c7e37d4b4237e0c13cb,26
MiMammal.0321.4Pad.Up11.1,MiMammal,3fb271469c16a0263ae285a8bd995cb5cdf82390,153
MiMammal.0321.4Pad.Up11.1,MiMammal,da86e55cb2b03c4f47a877c184e63d907a48bc4e,30
