"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"34d71378084e13c8c9caa8a7134cdd09daf73124","      1","root","no rank","1.0000","","","","","","",""
"2ccd60710b83497473b082da25380925cc8355ad","      1","root","no rank","1.0000","","","","","","",""
"ab4c0ed0c1b35a555268414d5f2f1aa656c1ca2d","   2759","Eukaryota","superkingdom","0.9999","","","","","","",""
"22c994e12aedc493191be77596788f135873b634","   2759","Eukaryota","superkingdom","0.9999","","","","","","",""
"0c4efaa2a30927b2d915fadc4a3e9dcd915ba7ba","   2759","Eukaryota","superkingdom","0.9933","","","","","","",""
"446236b5c9c6bdc470d0350927dca8c95e402822","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"0e253fe7d325c0519a652f856629576b44af37ed","   2759","Eukaryota","superkingdom","0.9610","","","","","","",""
"3188b4dd2a6f9c1ab6783ead28e171589c989637","  33154","Opisthokonta","no rank","0.9998","","","","","","",""
"7128405a93417226a08bb55114909a94ff7fa6f5","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"610202e247972c558e24522b287fd3aa8c641d8a","   2759","Eukaryota","superkingdom","0.9333","","","","","","",""
"b75a4c7561323c3390e5352b6913f665a7f45e91","      1","root","no rank",NA,"","","","","","",""
"d040b429a4e16c023ee6e8014e9011b26eceb683","      1","root","no rank","1.0000","","","","","","",""
"ba36644f67ec46e5f45e61c670d6dc90a60df016","   2759","Eukaryota","superkingdom","0.9259","","","","","","",""
"015204ccd53be850a486034592e4bf0c01f7e3bc","      1","root","no rank","1.0000","","","","","","",""
"9a28cfe824edce86d1cafb02ae3f6cab8d77cbd7","      1","root","no rank","1.0000","","","","","","",""
"fdc3bf7b4e6c6082f5abf400beb0715164f0fb86","      1","root","no rank","1.0000","","","","","","",""
"9b7dd80f841cbcd3fed66cc68330346429c3a454","      1","root","no rank","1.0000","","","","","","",""
"a76113bb07272ad2c3f450baee488caa92e73242","      1","root","no rank","1.0000","","","","","","",""
"a8ea2a2baf2faf600cdbbff9985d553a54380301","   2759","Eukaryota","superkingdom","1.0000","","","","","","",""
"a47c41d23e8df576a9a75a3b36b79c27d644bb54","      1","root","no rank","1.0000","","","","","","",""
"4466bdc09d8d0ba3f55d3ee1507d1a24132a9a54","  33213","Bilateria","no rank","0.9993","Metazoa","","","","","",""
"6dba6d6b62331d2a30922327bbd1ea32cceb1e92","   4762","Oomycetes","class","0.9688","","","Oomycetes","","","",""
"ebcd2ad0e4ce92622491c655e77ce34280d82309","      1","root","no rank","1.0000","","","","","","",""
"04fb53d7f78fdf8564febb1a6b0bfa4fa40667a6","      1","root","no rank","1.0000","","","","","","",""
"d2eb29fd97119d93ef299bd2c7318d661590e907","      1","root","no rank","1.0000","","","","","","",""
"6c999f85e593ea28562dd8867a3a706f55cd0730","      1","root","no rank",NA,"","","","","","",""
"7fa671791f10935952046dc55994398053706f55","      1","root","no rank","1.0000","","","","","","",""
