,MiFish.0321.1Prt.Up.1,MiFish.0321.2Brn.Dn.3,MiFish.0321.3Chk.Dn.1,MiFish.0321.3Chk.Dn.3,MiFish.0321.3Chk.Up.2,MiFish.0321.4Pad.Dn.2,MiFish.0321.4Pad.Dn.3,MiFish.0321.4Pad.Up11.1,MiFish.0321.4Pad.Up11.3,MiFish.0321.4Pad.Up5.1,MiFish.0321.4Pad.Up5.2,MiFish.0321.4Pad.Up5.3,MiFish.0321.5Sqm.Dn.3,MiFish.0321.5Sqm.Up.1,MiFish.0421.1Prt.Dn.1,MiFish.0421.1Prt.Dn.3,MiFish.0421.2Brn.Dn.2,MiFish.0421.2Brn.Dn.3,MiFish.0421.2Brn.Up.2,MiFish.0421.3Chk.Dn.1,MiFish.0421.3Chk.Dn.2,MiFish.0421.3Chk.Up.1,MiFish.0421.4Pad.Up11.2,MiFish.0421.4Pad.Up5.1,MiFish.0421.4Pad.Up5.2,MiFish.0421.5Sqm.Dn.2,MiFish.0421.5Sqm.Dn.3,MiFish.0421.5Sqm.Up.2,MiFish.0421.5Sqm.Up.3,MiFish.0821.1Prt.Dn.2,MiFish.0821.1Prt.Dn.3,MiFish.0821.1Prt.Up.2,MiFish.0821.1Prt.Up.3,MiFish.0821.2Brn.Dn.2,MiFish.0821.2Brn.Up.1,MiFish.0821.2Brn.Up.3,MiFish.0821.3Chk.Up.1,MiFish.0821.4Pad.Dn.1,MiFish.0821.5Sqm.Dn.1,MiFish.0821.2Brn.Dn.2TR2,MiFish.0821.2Brn.Dn.2TR3,MiFish.Kangaroo.Run.2
NA__NA__NA__NA__NA__NA__NA__Seq_0020,423,81,882,254,164,174,0,39,60,73,113,0,0,0,76,0,0,0,88,15,0,0,105,79,0,0,0,0,0,0,0,41,43,0,96,140,0,0,0,0,27,0
NA__NA__NA__NA__NA__NA__NA__Seq_0021,322,0,21,238,675,0,0,19,0,35,21,63,0,0,0,0,0,0,0,0,0,0,115,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0022,1038,0,0,0,0,0,243,0,0,0,0,155,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,231,95,0,0,205,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0023,714,0,109,0,0,24,0,84,189,0,115,0,0,0,232,0,0,0,0,20,0,91,191,103,111,0,0,0,0,0,0,0,125,0,0,0,0,174,0,0,60,0
NA__NA__NA__NA__NA__NA__NA__Seq_0024,212,0,0,710,11,18,0,0,0,0,0,18,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,148,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0025,536,235,114,112,146,0,0,189,0,104,202,0,0,0,88,0,0,0,0,0,68,159,0,21,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0026,437,64,0,0,0,96,179,44,106,0,0,0,8,0,122,0,0,0,0,0,0,0,53,92,102,23,0,0,0,9,0,356,20,0,118,104,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0027,272,0,127,61,885,0,17,0,0,38,0,0,0,0,107,0,0,37,0,0,0,0,81,0,0,0,0,0,0,0,0,253,0,0,0,39,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0028,288,339,187,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,106,0
NA__NA__NA__NA__NA__NA__NA__Seq_0029,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,37,0
NA__NA__NA__NA__NA__NA__NA__Seq_0030,254,0,328,203,182,36,0,113,55,93,124,45,0,0,0,0,0,0,0,0,0,0,129,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
NA__NA__NA__NA__NA__NA__NA__Seq_0031,114,162,0,0,0,0,0,77,0,398,473,308,0,0,0,0,0,0,0,35,0,0,70,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0032,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0033,166,50,112,63,903,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,92,0,80,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0034,249,0,0,0,21,0,0,30,9,0,0,0,0,0,528,0,16,3,0,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,484,30,0,88,0,0,0,0
NA__NA__NA__NA__NA__NA__NA__Seq_0035,430,23,0,0,0,0,0,0,112,162,58,0,0,0,70,0,94,0,0,0,0,112,75,58,201,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
