"","tmp.hash","tmp.tx","wholetax.tg"
"43","30742d31b3cc7a387b96133d0998ecee07c83597","Taxon_043","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"44","cb0cf229832374ff8f4ce89c20348a90da9c04e1","Taxon_044","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas"
"45","c6d586dc78d8ef5cac238cba2d5714407775bd69","Taxon_045","Metazoa__NA__NA__NA__NA__NA__NA"
"46","5c024b1d5c5f25af45599d69bd92b8837b2ba62f","Taxon_046","Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA"
"47","7ed525639c40b9418b4743e59f833fa5b3bdf355","Taxon_047","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"48","e72055022b8149f013d288146db1df79fcbb8f7b","Taxon_048","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"49","0af50c9e935876232e242db91bb835235691bf3a","Taxon_049","Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA"
"50","6f93809b6bc63b61b0d350733addd08a6ab86f2e","Taxon_050","Metazoa__Chordata__Aves__Pelecaniformes__Ardeidae__NA__NA"
"51","e38e779b032805db5aa7de7dc90149d3fce72e79","Taxon_051","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"52","34b95af64697c2feb0ab121d484733666197ae1f","Taxon_052","Metazoa__Chordata__Aves__Anseriformes__Anatidae__Branta__Branta canadensis"
"53","8005d06b5717f047aac5d6ee7238b50bd1f9a895","Taxon_053","Metazoa__Chordata__Aves__Anseriformes__Anatidae__Cygnus__NA"
"54","0ef847ecc2c0f9b9bc623b156a2a005c9bbd006d","Taxon_054","Metazoa__NA__NA__NA__NA__NA__NA"
"55","1c750e6acf7f257b38dd658fb72d1db65d5ad259","Taxon_055","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"56","b48513522bc5b6665df2930ce8c58f0e5207c198","Taxon_056","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"57","e3bb86462242cc75b2d9159e96f588a2ca09a5d3","Taxon_057","Metazoa__Chordata__Mammalia__Rodentia__Muridae__Rattus__NA"
"58","e3326d78fc42729ea464440aa62ec3ce02bd2829","Taxon_058","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"59","23c619d6fffd998ebd33fc4a32feda91287ea49e","Taxon_059","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"60","7dae49817fac3bd37bd1ab61e10a98b36513016b","Taxon_060","Metazoa__Chordata__Mammalia__Carnivora__Felidae__Felis__Felis catus"
"61","8001433422f2dfb9b7333084b5ae4a31130f34f2","Taxon_061","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__NA"
"62","3fa5cad0e8bd81303eed0492a7c0dd91d85747be","Taxon_062","Metazoa__Chordata__Mammalia__Carnivora__Procyonidae__Procyon__Procyon lotor"
"63","e65f511d819ef32a2941c6d56d076a8616b71c25","Taxon_063","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"64","298dae79d14c3c665b4a97bad3ba5129f4d3edf1","Taxon_064","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"65","d5f832529f6b73fadb1b9087af48bf9a8dc101c8","Taxon_065","Metazoa__Chordata__Aves__Anseriformes__Anatidae__Aix__Aix sponsa"
"66","f47dad9cb9d3cf52c86783898d849142bca1476c","Taxon_066","Metazoa__Chordata__Mammalia__Didelphimorphia__Didelphidae__NA__NA"
"67","c6be405669c4d4d5ae91e15576ef8906a3ca3a41","Taxon_067","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"68","c458bfbd8c0ac4b00203e7ac33d77c8141488906","Taxon_068","Metazoa__Chordata__Aves__Passeriformes__Hirundinidae__Tachycineta__Tachycineta thalassina"
"69","7eead34e363df27775f985a0cb2ce490701fcb19","Taxon_069","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"70","4bcf98976488f81fa25b3b8d4dad55d94f89da6f","Taxon_070","Metazoa__Chordata__Mammalia__NA__NA__NA__NA"
"71","80b393f13810fac57278c2947983d31c1972003b","Taxon_071","Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA"
"72","23bf5f5d24f589cba120a8635ee13e9817d90a52","Taxon_072","Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__NA__NA"
"73","da86e55cb2b03c4f47a877c184e63d907a48bc4e","Taxon_073","Metazoa__Chordata__Aves__Galliformes__Phasianidae__NA__NA"
"74","9cddc5a579c9034e01050606637ed2d0a4f6bd81","Taxon_074","Metazoa__Chordata__Mammalia__Primates__Hominidae__Homo__Homo sapiens"
"75","d49556be511b453fb857fbf5546900276c8c80b7","Taxon_075","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA"
"76","bb1cc3902b7d9e1b902a44ba619d14a2c6f909b6","Taxon_076","Metazoa__Chordata__Aves__Galliformes__Phasianidae__NA__NA"
"77","20a9c4751ed251e3c0f35a775d46c080075382d8","Taxon_077","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"78","eccfd48eb4674a8cfcb69e95f0a2b4abc5a80ea8","Taxon_078","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"79","3aae89a287ae59f1da0a1f04f508f67939fd260e","Taxon_079","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"80","060442c1fbcebb79143b4619d259670500a0595e","Taxon_080","Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus"
"81","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc","Taxon_081","Metazoa__Chordata__Actinopteri__Perciformes__Gasterosteidae__Gasterosteus__NA"
"82","acb132e82e2ef43f8eac6c7e5dd85c551168b718","Taxon_082","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"83","25e8531396b00cb9cdd8c87db81331ec1a0ee28e","Taxon_083","Metazoa__Chordata__Actinopteri__NA__NA__NA__NA"
"84","66ff6e74c54628fba8015937470ec9d9184eced9","Taxon_084","Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA"
"85","d15e926efd8720231adb32a8b4e6e40608827676","Taxon_085","Metazoa__Chordata__Actinopteri__Siluriformes__Ictaluridae__Ameiurus__Ameiurus nebulosus"
"86","4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b","Taxon_086","Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA"
"87","f3d5863f9d49fc73652ae616bd0a22b9ab62d094","Taxon_087","Metazoa__Chordata__Mammalia__Eulipotyphla__Talpidae__Neurotrichus__Neurotrichus gibbsii"
"88","9a33de19684dd94fef15cc285fa6e9a6a7284e64","Taxon_088","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"89","07122a09e420f0d98cd3019bb7a8f3da9909e375","Taxon_089","Metazoa__Chordata__Mammalia__Eulipotyphla__Soricidae__NA__NA"
"90","52b243aa0f20605f285bc1dc5738230e4ac2d4f0","Taxon_090","Metazoa__NA__NA__NA__NA__NA__NA"
"91","4c562c7a275414a00788a05c97abe672981ffcea","Taxon_091","Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA"
