"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_027",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_028",0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_029",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__NA__NA__NA__NA__Taxon_030",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__Lynx__Lynx rufus__Taxon_031",0,0,18646,8,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Artiodactyla__Cervidae__NA__NA__Taxon_032",0,0,74,0,1335,467,0,864,0,0,0,2,0,0,404,0,276,0,0,201,0,0,2,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Felidae__NA__NA__Taxon_033",0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__NA__NA__NA__Taxon_034",0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Percidae__Perca__Perca flavescens__Taxon_035",0,0,0,2088,0,0,0,0,0,0,0,0,1873,962,0,0,0,0,0,16,389,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Taxon_036",0,0,0,1922,0,0,0,0,0,0,0,2433,4841,2966,437,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_037",0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__Corvidae__NA__NA__Taxon_038",0,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,17,0,0,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Taxon_039",0,0,0,215,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__NA__NA__Taxon_040",0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Taxon_041",0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Aves__Passeriformes__NA__NA__NA__Taxon_042",0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_043",0,0,0,0,6791,4072,4292,1003,2397,0,6,0,0,0,2568,0,0,0,0,0,0,0,3,0,2179,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__Pimephales__Pimephales promelas__Taxon_044",0,0,0,0,256,230,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__NA__NA__NA__NA__NA__NA__Taxon_045",0,0,0,0,2171,6743,0,0,0,0,0,550,0,0,5374,0,0,0,0,77,7,0,30,0,0,0
"Metazoa__Chordata__Mammalia__Lagomorpha__Leporidae__Sylvilagus__NA__Taxon_046",0,0,0,0,3306,1048,1063,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Cypriniformes__Leuciscidae__NA__NA__Taxon_047",0,0,0,0,16,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Taxon_048",0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Amphibia__Caudata__Ambystomatidae__Ambystoma__NA__Taxon_049",0,151,0,0,4,5591,8957,6029,6022,0,0,1107,0,0,1808,680,0,0,0,0,0,0,7,0,0,0
