"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"Metazoa__NA__NA__NA__NA__NA__NA__Seq_030",148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Rodentia__Cricetidae__NA__NA__Seq_031",120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_032",49,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_033",102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_034",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_035",28,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_036",37,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_037",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_038",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_039",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_040",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_041",58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_042",56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_043",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_044",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_045",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_046",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_047",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_048",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_049",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_050",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_051",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_052",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_053",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_054",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_055",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_056",6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_057",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_058",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_059",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_060",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_061",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_062",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_063",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_064",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_065",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_066",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus kisutch__Seq_067",0,138,0,0,0,0,862,1209,1264,0,0,0,135,255,23,724,0,0,112,556,3101,525,5675,0,285,0
"Metazoa__Chordata__Actinopteri__Salmoniformes__Salmonidae__Oncorhynchus__Oncorhynchus mykiss__Seq_068",0,132,0,832,0,32,0,0,0,0,0,0,0,243,0,0,0,0,228,5055,0,0,0,0,0,0
"Metazoa__Chordata__Actinopteri__Perciformes__Cottidae__Cottus__NA__Seq_069",0,2199,0,4520,0,0,0,0,0,0,0,0,378,1476,0,0,0,0,4,327,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__NA__Seq_070",0,11212,0,0,0,1913,0,1311,0,0,0,0,752,1238,0,0,726,0,0,199,0,0,0,0,0,1683
"Metazoa__Chordata__Aves__Passeriformes__Passerellidae__Melospiza__Melospiza melodia__Seq_071",0,1634,0,0,648,0,94,0,0,0,0,138,0,0,197,0,0,0,499,0,12000,135,823,0,805,0
"Metazoa__Chordata__Mammalia__Rodentia__Sciuridae__NA__NA__Seq_072",0,1525,0,2832,0,0,3344,2365,1187,0,0,0,0,398,0,4300,0,0,2,506,0,0,143,0,0,0
"Metazoa__Chordata__Aves__Anseriformes__Anatidae__NA__NA__Seq_073",0,685,4,7754,59,0,27,252,725,0,0,163,2941,908,14,0,0,0,5,0,0,0,0,0,158,0
"NA__NA__NA__NA__NA__NA__NA__Seq_074",0,221,0,694,0,0,0,0,0,0,0,0,457,61,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__NA__NA__NA__NA__Seq_075",0,1207,0,0,0,0,0,0,0,0,0,2432,0,0,0,0,380,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_076",0,387,0,20,0,0,0,0,0,0,0,234,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Metazoa__Chordata__Mammalia__Carnivora__Canidae__Canis__Canis lupus__Seq_077",0,1979,0,0,0,407,0,0,0,0,0,583,0,0,208,0,0,0,0,0,0,0,0,0,0,0
"NA__NA__NA__NA__NA__NA__NA__Seq_078",0,23,0,0,0,0,0,0,0,666,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615
"Metazoa__Chordata__NA__NA__NA__NA__NA__Seq_079",0,822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
